Source:,C:\Users\CharlesRaasch\Dropbox\Electronic Projects\CRControlSystems\MIDIPeterson\Peterson_SerialIO\SerialIOProc.sch,,,,,,,
Date:,8/27/2019 8:02,,,,,,,
Tool:,Eeschema (5.0.2)-1,,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,
Component Count:,156,,,,,,,
,,,,,,,,
Individual Components:,,,,,,,,
,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MPN,SKU
,,C1,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C2,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C3,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C4,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C5,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C6,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C7,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C8,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C9,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C10,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C11,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C12,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C14,C,Device:C,Resistors_SMD:R_0603_HandSoldering,,,
,,C15,C,Device:C,Resistors_SMD:R_0603_HandSoldering,,,
,,C16,C,Device:C,Resistors_SMD:R_0603_HandSoldering,,,
,,C17,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C18,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C19,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C20,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C21,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C22,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C23,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C24,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C25,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C26,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C27,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C28,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C29,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C30,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C31,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C32,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C35,C,Device:C,Resistors_SMD:R_0603_HandSoldering,,,
,,C36,C,Device:C,Resistors_SMD:R_0603_HandSoldering,,,
,,C37,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C38,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C39,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C40,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C41,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C42,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C43,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C44,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C45,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C46,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C47,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C48,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C49,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C50,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C51,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C52,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C53,C,Device:C,Resistors_SMD:R_0603_HandSoldering,,,
,,C56,C,Device:C,Resistors_SMD:R_0603_HandSoldering,,,
,,C57,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C58,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C59,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C60,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C61,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C62,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C63,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C64,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C65,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C66,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C67,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C68,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C69,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C70,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C71,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C72,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C73,C,Device:C,Resistors_SMD:R_0603_HandSoldering,,,
,,C75,C,Device:C,Resistors_SMD:R_0603_HandSoldering,,,
,,C77,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C78,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C79,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,C80,1nF or ESD,Device:C,SeeedOPL-Capacitor-2016:C0603,,,
,,D1,SMD-LED-CLEAR-GREEN_0805_,SerialIOProc-rescue:SMD-LED-CLEAR-GREEN_0805_-SeeedOPL-LED-2016,SeeedOPL-LED-2016:LED-0805,,17-215SYGC_S530-E2_TR8,304090057
,,INPUT1,Conn_02x04_Counter_Clockwise,SerialIOProc-rescue:Conn_02x04_Counter_Clockwise-conn-SerialIOProc-rescue,SeeedOPL-Connector-2016:H2X4-2.54,,,
,,J1,Conn_02x04_Counter_Clockwise,SerialIOProc-rescue:Conn_02x04_Counter_Clockwise-conn-SerialIOProc-rescue,SeeedOPL-Connector-2016:H2X4-2.54,,,
,,J2,Conn_02x04_Counter_Clockwise,SerialIOProc-rescue:Conn_02x04_Counter_Clockwise-conn-SerialIOProc-rescue,SeeedOPL-Connector-2016:H2X4-2.54,,,
,,J3,Conn_02x04_Counter_Clockwise,SerialIOProc-rescue:Conn_02x04_Counter_Clockwise-conn-SerialIOProc-rescue,SeeedOPL-Connector-2016:H2X4-2.54,,,
,,J4,Conn_01x03,SerialIOProc-rescue:Conn_01x03-conn-SerialIOProc-rescue,CLRConnector:H3-2.54,~,,
,,J5,Conn_02x04_Counter_Clockwise,SerialIOProc-rescue:Conn_02x04_Counter_Clockwise-conn-SerialIOProc-rescue,SeeedOPL-Connector-2016:H2X4-2.54,,,
,,J6,Conn_01x12,SerialIOProc-rescue:Conn_01x12-conn-SerialIOProc-rescue,CLRConnector:KK156-12,~,,
,,J7,Conn_01x12,SerialIOProc-rescue:Conn_01x12-conn-SerialIOProc-rescue,CLRConnector:KK156-12,~,,
,,J8,Conn_01x12,SerialIOProc-rescue:Conn_01x12-conn-SerialIOProc-rescue,CLRConnector:KK156-12,~,,
,,J9,Conn_01x12,SerialIOProc-rescue:Conn_01x12-conn-SerialIOProc-rescue,CLRConnector:KK156-12,~,,
,,J10,Conn_01x12,SerialIOProc-rescue:Conn_01x12-conn-SerialIOProc-rescue,CLRConnector:KK156-12,~,,
,,J11,Conn_01x01,SerialIOProc-rescue:Conn_01x01-conn-SerialIOProc-rescue,CLRConnector:KK156-1,~,,
,,J12,Conn_01x03,SerialIOProc-rescue:Conn_01x03-conn-SerialIOProc-rescue,CLRConnector:H3-2.54,~,,
,,J13,Conn_01x01,SerialIOProc-rescue:Conn_01x01-conn-SerialIOProc-rescue,CLRConnector:KK156-1,~,,
,,J14,Conn_01x01,SerialIOProc-rescue:Conn_01x01-conn-SerialIOProc-rescue,CLRConnector:KK156-1,~,,
,,J15,Conn_01x01,SerialIOProc-rescue:Conn_01x01-conn-SerialIOProc-rescue,CLRConnector:KK156-1,~,,
,,J16,Conn_01x01,SerialIOProc-rescue:Conn_01x01-conn-SerialIOProc-rescue,CLRConnector:KK156-1,~,,
,,J17,Conn_01x01,SerialIOProc-rescue:Conn_01x01-conn-SerialIOProc-rescue,CLRConnector:KK156-1,~,,
,,J18,Conn_01x03,SerialIOProc-rescue:Conn_01x03-conn-SerialIOProc-rescue,CLRConnector:H3-2.54,~,,
,,J20,Conn_01x03_Male,Connector:Conn_01x03_Male,SeeedOPL-Connector-2016:H3-2.54,~,,
,,JP1,DIP-USB-B-TYPE-FMAL_4+2P-2.0-90D_,SeeedOPL-Connector-2016:DIP-USB-B-TYPE-FMAL_4+2P-2.0-90D_,SeeedOPL-Connector-2016:USB4+2-2.5-90D-15.8X12MM,,,320010018
,,M1,Conn_01x01,SerialIOProc-rescue:Conn_01x01-conn-SerialIOProc-rescue,CLRConnector:Mounting#4,,,
,,M2,Conn_01x01,SerialIOProc-rescue:Conn_01x01-conn-SerialIOProc-rescue,CLRConnector:Mounting#4,,,
,,M4,Conn_01x01,SerialIOProc-rescue:Conn_01x01-conn-SerialIOProc-rescue,CLRConnector:Mounting#4,,,
,,M5,Conn_01x01,SerialIOProc-rescue:Conn_01x01-conn-SerialIOProc-rescue,CLRConnector:Mounting#4,,,
,,M6,Conn_01x01,SerialIOProc-rescue:Conn_01x01-conn-SerialIOProc-rescue,CLRConnector:Mounting#4,,,
,,M7,Conn_01x01,SerialIOProc-rescue:Conn_01x01-conn-SerialIOProc-rescue,CLRConnector:Mounting#4,,,
,,M8,Conn_01x01,SerialIOProc-rescue:Conn_01x01-conn-SerialIOProc-rescue,CLRConnector:Mounting#4,,,
,,OUTPUT1,Conn_02x04_Counter_Clockwise,SerialIOProc-rescue:Conn_02x04_Counter_Clockwise-conn-SerialIOProc-rescue,SeeedOPL-Connector-2016:H2X4-2.54,,,
,,R1,DNP,Device:R,Resistor_SMD:R_0603_1608Metric,~,,
,,R2,DNP,Device:R,Resistor_SMD:R_0603_1608Metric,~,,
,,R3,DNP,Device:R,Resistor_SMD:R_0603_1608Metric,~,,
,,R4,1K,Device:R,SeeedOPL-Resistor-2016:R0603,~,,
,,R6,DNP,Device:R,SeeedOPL-Resistor-2016:R0603,~,,
,,R7,DNP,Device:R,SeeedOPL-Resistor-2016:R0603,~,,
,,R8,DNP,Device:R,SeeedOPL-Resistor-2016:R0603,~,,
,,R9,DNP,Device:R,SeeedOPL-Resistor-2016:R0603,~,,
,,R10,DNP,Device:R,SeeedOPL-Resistor-2016:R0603,~,,
,,R11,DNP,Device:R,SeeedOPL-Resistor-2016:R0603,~,,
,,R12,DNP,Device:R,SeeedOPL-Resistor-2016:R0603,~,,
