Source:,C:\Users\CharlesRaasch\Dropbox\Electronic Projects\CRControlSystems\SAMdriver32\Peterson_SerialIO\SAMDriver32.sch,,,,,,,
Date:,8/27/2019 9:47,,,,,,,
Tool:,Eeschema (5.0.2)-1,,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,
Component Count:,343,,,,,,,
,,,,,,,,
Individual Components:,,,,,,,,
,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MPN,SKU
,,C1,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C2,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C3,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C4,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C5,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C6,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C7,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C8,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C9,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C10,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C11,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C12,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C13,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C14,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C15,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C16,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C17,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C18,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C19,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C20,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C21,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C22,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C23,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C24,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C25,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C26,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C27,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C28,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C29,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C30,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C31,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C32,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C33,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C34,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C35,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C36,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C37,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C38,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C39,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C40,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C41,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C42,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C43,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C44,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C45,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C46,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C47,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C48,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C49,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C50,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C51,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C52,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C53,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C54,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C55,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C56,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C57,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C58,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C59,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C60,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C61,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C62,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C63,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C64,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C65,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C66,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C67,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C68,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C69,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C70,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C71,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C72,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C73,1nf 302010138 or ESD,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C74,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C75,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C76,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C77,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C78,CERAMIC-100NF-50V-10%-X7R_0603_,OPL_Capacitor:CERAMIC-100NF-50V-10%-X7R_0603_,Capacitor_SMD:C_0603_1608Metric,,CC0603KRX7R9BB104,302010138
,,C79,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C80,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C81,302010138,Device:C,Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J,,,
,,C82,100uF 25V,Device:C_Small,Capacitors_THT:CP_Radial_D10.0mm_P2.50mm_P5.00mm,~,,
,,C83,100uF 25V,Device:C_Small,Capacitors_THT:CP_Radial_D10.0mm_P2.50mm_P5.00mm,~,,
,,C84,100uF 25V,Device:C_Small,Capacitors_THT:CP_Radial_D10.0mm_P2.50mm_P5.00mm,~,,
,,C85,100uF 25V,Device:C_Small,Capacitors_THT:CP_Radial_D10.0mm_P2.50mm_P5.00mm,~,,
,,C86,CERAMIC-100NF-50V-10%-X7R_0603_,OPL_Capacitor:CERAMIC-100NF-50V-10%-X7R_0603_,Capacitor_SMD:C_0603_1608Metric,,CC0603KRX7R9BB104,302010138
,,D1,BAV23A/Q,Device:D_Schottky_x2_ACom_KKA,SeeedOPL-Diode-2016:SOT-23,~,,
,,D2,BAV23A/Q,Device:D_Schottky_x2_ACom_KKA,SeeedOPL-Diode-2016:SOT-23,~,,
,,D3,BAV23A/Q,Device:D_Schottky_x2_ACom_KKA,SeeedOPL-Diode-2016:SOT-23,~,,
,,D4,BAV23A/Q,Device:D_Schottky_x2_ACom_KKA,SeeedOPL-Diode-2016:SOT-23,~,,
,,D5,BAV23A/Q,Device:D_Schottky_x2_ACom_KKA,SeeedOPL-Diode-2016:SOT-23,~,,
,,D6,BAV23A/Q,Device:D_Schottky_x2_ACom_KKA,SeeedOPL-Diode-2016:SOT-23,~,,
,,D7,BAV23A/Q,Device:D_Schottky_x2_ACom_KKA,SeeedOPL-Diode-2016:SOT-23,~,,
,,D8,BAV23A/Q,Device:D_Schottky_x2_ACom_KKA,SeeedOPL-Diode-2016:SOT-23,~,,
,,D9,BAV23A/Q,Device:D_Schottky_x2_ACom_KKA,SeeedOPL-Diode-2016:SOT-23,~,,
,,D10,BAV23A/Q,Device:D_Schottky_x2_ACom_KKA,SeeedOPL-Diode-2016:SOT-23,~,,
,,D11,BAV23A/Q,Device:D_Schottky_x2_ACom_KKA,SeeedOPL-Diode-2016:SOT-23,~,,
